month,floor,exit,dir,is_R,oos_R,ret,n,dd
2024-04,1.5,R3,L+S,0.6511904374702239,0.35302891061053077,4.234560450827707,17,-3.9767938921639323
2024-05,1.5,R10+trail5,L+S,0.6153252939309777,0.3246825167593687,3.504242247970324,16,-5.724944438399526
2024-06,2.0,trail5,long,0.7170970078968736,0.4867945690428252,1.7015694397588321,5,-3.370058719505653
2024-07,1.5,R5,long,0.952724788482378,0.42140189713867043,3.4291161452387087,12,-7.477484912752674
2024-08,1.5,R5,L+S,0.9223055038864456,-0.5004937603294132,-4.726093533154141,12,-7.726839814075115
2024-09,2.0,R5,long,0.880079548829099,-0.23242972532929324,-1.8985755024168771,9,-4.488075536308289
2024-10,3.0,R5,L+S,0.7528919622255424,0.1596851757479015,0.26270723071872837,5,-3.1456089739916315
2024-11,2.0,R5,long,0.7155199306715118,1.5831792239444036,6.987700422055387,6,-3.420604533413807
2024-12,3.0,R5,long,1.1438762634310242,-1.0459790533802944,-2.4000330245198764,3,-4.015200268242913
2025-01,3.0,R5,long,1.2148210388364762,0.3643198247994831,1.1695284548529195,5,-4.086182182764486
2025-02,3.0,R5,long,1.0995431665984625,-1.0497200994485982,-1.6508600983835664,2,-2.2444361690239667
2025-03,3.0,R5,long,0.9633510424401981,-0.6197092986154878,-1.076401302380614,2,-3.086155207589736
2025-04,3.0,R5,long,0.8849746465257858,2.8650997198677217,4.200681599018785,2,-0.7958448115209404
2025-05,3.0,R5,long,0.9552510977104047,1.5101407823554769,3.0688974974860006,3,-2.8709811872592583
2025-06,3.0,R5,long,1.0473032216206364,0.5396799910972329,2.1722493494321427,6,-2.762561506369743
2025-07,3.0,R5,long,0.9915640512423858,0.6316744058699377,1.654090454909407,4,-2.483607984238956
2025-08,3.0,R5,long,1.0119467281688244,0.9533778544087329,1.9319676667537644,3,-3.129012819994692
2025-09,3.0,R5,long,0.9990818129750925,0.8398033781421453,2.771444257742739,5,-3.7041043561357956
2025-10,3.0,R5,long,0.9836227624581746,-1.0409218738150032,-0.8577177433427341,1,-2.867719580399075
2025-11,3.0,R5,long,0.9935315519496666,-1.0733031323167792,-0.8057224380379702,1,-0.8057224380379702
2025-12,3.0,R5,long,0.9684931525134701,-0.8614776729467968,-3.9226678190939057,6,-4.234534167013438
2026-01,3.0,R5,long,0.7919039799436273,2.952429447592344,6.512321165716761,3,-2.244847440690001
2026-02,3.0,R5,long,0.8394667665110979,-0.5888260476705949,-2.200568834047012,5,-3.4790397302036036
2026-03,3.0,R5,L+S,0.8169088183909113,-0.9119637746613399,-2.230584633281496,3,-4.663294782268945
2026-04,3.0,R5,L+S,0.7051907484421142,-0.06750638920046481,-0.48293556178986563,4,-3.8548111534986496
2026-05,3.0,R5,long,0.770254505446906,-1.062478797866876,-1.0460668859100797,1,-3.6392749306588312
2026-06,3.0,R5,long,0.7661188756779713,-1.039207634186192,-1.7064649214418526,2,-4.40675859599895
2026-07,3.0,R5,long,0.7236406048576381,1.184320913790029,0.5327220072029348,1,-2.9350574844811517
2026-08,3.0,R5,long,0.7284714181937535,0.8190780765662179,2.2177442242900636,4,-2.4063473926457357
2026-09,3.0,R5,long,0.7694427117150441,0.20396316306727313,0.40439443839086486,4,-4.931525050938523
